Cuota_Inicial__c,Presupuesto_inmueble_a_comprar__c,ingresos_totales__c,Ingresos_familiares__c,Calidad_de_lead__c,picklist_ciudad__c
0.0,,5000000.0,5000000.0,Descalificado,Bogotá
6000000.0,400000000.0,4000000.0,4000000.0,Descalificado,Bogotá
15000000.0,180000000.0,5500000.0,5500000.0,Descalificado,Bogotá
500.0,150000000.0,1500000.0,1500000.0,Descalificado,Bogotá
10000000.0,300000000.0,6000000.0,6000000.0,Descalificado,Bogotá
79000000.0,450000000.0,12900000.0,12900000.0,Alta,Bogotá
0.0,120000000.0,1800000.0,1800000.0,Descalificado,Bogotá
100000000.0,1000000000.0,15000000.0,15000000.0,Descalificado,Bogotá
70000000.0,400000000.0,10000000.0,10000000.0,Alta,Bogotá
28000000.0,240000000.0,9823000.0,9823000.0,Descalificado,Cali
2000000.0,120000000.0,1800000.0,1800000.0,Descalificado,Bogotá
0.0,470000000.0,4657200.0,4657200.0,Descalificado,Bogotá
13000000.0,190000000.0,4500000.0,4500000.0,Descalificado,Medellín
30000000.0,360000000.0,11000000.0,11000000.0,Descalificado,Bogotá
15000000.0,200000000.0,2300000.0,2300000.0,Descalificado,Bogotá
0.0,190000000.0,7000000.0,7000000.0,Descalificado,Bogotá
1000000.0,190000000.0,2000000.0,2000000.0,Descalificado,Bogotá
1500000.0,1500000.0,2400000.0,2400000.0,Descalificado,Bogotá
5000000.0,150000000.0,2200000.0,2200000.0,Descalificado,Bogotá
20000000.0,120000000.0,2300000.0,2300000.0,Media,Bogotá
0.0,250000000.0,8000000.0,8000000.0,Descalificado,Bogotá
15000000.0,100000000.0,2800000.0,2800000.0,Media,Bogotá
